Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	110.8908	-390.5052	501.396	0.1570856	0.269339	0.777155	0.222845	0.167545
6	108.3021	-393.1213	501.4234	0.1019013	0.4459099	0.154916	0.845084	0.3205117
12	122.7124	-379.0242	501.7366	0.1048435	0.2917096	0.0506747	0.949325	0.3205117
18	126.6185	-374.2049	500.8234	0.2753605	0.7321704	0.181703	0.818297	0.3205117
24	131.3248	-370.8735	502.1983	0.1725013	0.09138012	0.289988	0.710012	0.2509907
30	109.5228	-390.5527	500.0755	0.6196545	0.7209979	0.176198	0.823802	0.1501129
36	120.4244	-380.4931	500.9175	0.6493388	0.2938194	0.509688	0.490312	0.1876543
42	125.8716	-375.7313	501.6029	0.2529362	0.2924954	0.401794	0.598206	0.336025
48	125.3154	-376.3156	501.631	0.1288371	0.3411409	0.220409	0.779591	0.3508474
54	127.1341	-372.5741	499.7081	0.6797026	1.024299	0.521345	0.478655	0.1568581
60	126.1417	-374.7547	500.8964	0.4681835	0.5240511	0.231164	0.768836	0.2974343
66	127.0888	-373.8542	500.943	0.3740408	0.4960596	0.193754	0.806246	0.2430389
72	126.0352	-375.0315	501.0667	0.3831083	0.4960596	0.200979	0.799021	0.330796
78	130.5188	-368.749	499.2678	1.133705	1.069581	0.0633334	0.936667	0.1708404
84	122.9822	-377.5369	500.5191	0.8020048	0.3753423	0.10531	0.89469	0.1687527
90	120.5207	-380.6844	501.2051	0.8020048	0.08030705	0.0248318	0.975168	0.1304152
96	120.8888	-380.8158	501.7046	0.6214288	0.09106926	0.474668	0.525332	0.2296725
102	109.1758	-389.4827	498.6585	1.752006	0.2490894	0.26757	0.73243	0.03926411
108	117.2531	-380.9674	498.2205	1.755092	0.1792234	0.154718	0.845282	0.01999663
114	122.3189	-378.0416	500.3605	0.8990193	0.2511088	0.396122	0.603878	0.1052755
120	125.0342	-375.9904	501.0246	0.7940305	0.1308213	0.606251	0.393749	0.1343145
126	124.5035	-376.4421	500.9456	0.5019026	0.3430081	0.235381	0.764619	0.1849997
132	126.4342	-373.7612	500.1953	0.9115509	0.460562	0.330855	0.669145	0.1556788
138	127.7549	-372.4558	500.2107	0.9115509	0.3787093	0.294351	0.705649	0.1284801
144	127.105	-373.4314	500.5364	0.9115509	0.2000836	0.576283	0.423717	0.1116838
150	106.9956	-394.553	501.5486	0.1770723	0.3460629	0.494363	0.505637	0.3261146
156	117.4765	-383.9196	501.3962	0.6157761	0.1932392	0.174845	0.825155	0.2572805
162	117.8237	-382.067	499.8907	1.426296	0.09585706	0.384344	0.615656	0.06101657
168	114.309	-384.2242	498.5332	1.426296	0.805618	0.256362	0.743638	0.06763983
174	116.9389	-382.4783	499.4172	0.9111731	0.6485567	0.441117	0.558883	0.08257342
180	124.8341	-375.9261	500.7602	0.9111731	0.134961	0.378107	0.621893	0.112759
186	120.3737	-380.4041	500.7779	0.9111731	0.1135883	0.219733	0.780267	0.1038197
192	123.816	-376.4887	500.3047	0.9111731	0.235944	0.43108	0.56892	0.09479365
198	119.2537	-379.2814	498.535	1.336545	0.5498609	0.384681	0.615319	0.04173695
204	125.691	-374.5767	500.2677	0.8386605	0.4268223	0.220361	0.779639	0.142692
210	121.4437	-379.154	500.5977	0.4633881	0.6956427	0.362548	0.637452	0.2620243
216	128.0642	-372.7562	500.8204	1.014471	0.09621666	0.288307	0.711693	0.1140568
222	127.0828	-373.9437	501.0265	1.014471	0.04920731	0.264727	0.735273	0.1117523
228	129.1333	-371.2907	500.424	1.04153	0.09230814	0.349546	0.650454	0.07113032
234	120.7102	-380.4182	501.1284	0.6409449	0.2213471	0.346732	0.653268	0.1925704
240	123.9661	-377.2019	501.168	0.3862719	0.3196088	0.241563	0.758437	0.2025666
246	124.2994	-378.0025	502.3019	0.1458225	0.066313	0.129949	0.870051	0.2327244
252	126.27	-375.2028	501.4728	0.1826437	0.3222817	0.725076	0.274924	0.2458892
258	129.9907	-371.1958	501.1866	0.3349146	0.3862857	0.322489	0.677511	0.2458892
264	121.3044	-380.0069	501.3113	0.7167339	0.1633669	0.126237	0.873763	0.2210662
